ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match
8490,201.2433499745108,-43.04058362089512,3.782,0.1894489866035834,9.574898719787598,no,no,no,no
8490,201.46973603192865,-43.09606289711567,6.714,0.2366094798053941,25.82355690002441,yes,no,yes,no
8490,201.4437514172914,-43.1606218936261,8.152,0.2369697493048672,48.01696014404297,yes,no,yes,no
9546,211.2511249551987,53.65705961254904,0.3516666666666667,0.0765711555906383,15.83505916595459,no,no,no,no
9548,170.0728807666797,12.971882783463144,1.275,0.0386748103876605,60.85281753540039,no,no,no,no
14904,345.49250178555906,15.948703559294035,1.62,0.0841585700527913,13.364900588989258,no,no,no,no
4062,76.68677721975321,-31.88658870680426,6.245,0.1101741318934756,108.77521514892578,yes,no,no,no
4062,76.77817721461076,-31.869820454790272,10.66,0.3709350165963833,41.93905258178711,no,no,no,no
4062,76.68116155824013,-31.979151038136077,4.623,0.2205495907832502,20.24419403076172,no,no,no,no
5885,318.12659932619124,-63.49898026536364,3.672,0.2106421106175894,8.786419868469238,no,no,no,no
5885,318.1163347343031,-63.44719832305917,1.888,0.0772399312481467,21.680870056152344,yes,no,no,no
9841,175.00502802912297,-31.917418672849003,4.745,0.363050812299814,10.53874397277832,no,no,no,no
12264,90.00442872803535,-52.71504419773976,4.701,0.2767100330713763,12.066136360168455,no,no,no,no
12264,90.11118640707272,-52.7221234663525,7.644,0.5640619992458135,16.23258399963379,yes,no,yes,no
12884,212.12046698241707,-27.05799504651321,12.961,0.4060499533637473,33.672420501708984,no,no,no,no
13454,15.935693730603868,-21.812706512890927,7.384,0.3263999539318452,16.7299747467041,no,no,no,no
15113,45.268361416593024,-77.88092172934407,6.611,0.6491172130284858,7.617845058441162,no,no,no,no
15113,45.78805627036417,-77.74335895338677,9.305,0.7309116694166318,10.54832649230957,yes,no,no,yes
16454,53.16163226003447,-27.85948684635001,3.737,0.0860997143854298,47.09370422363281,no,no,no,no
16454,53.079386652235726,-27.798874733134884,2.278,0.2285250973451334,3.460390090942383,no,no,yes,no
24835,19.432523854085872,-8.731552823611775,3.716,0.1684246864329773,7.736513137817383,no,no,no,no
23631,26.761745095335552,-9.25407158075332,4.928,0.4249331300765766,6.887124061584473,yes,no,no,no
22442,77.14510861957423,-67.5195332239743,5.341,0.4273579843903372,11.526541709899902,yes,no,yes,no
22444,77.40597511111378,-67.55177472113239,1.808,0.1027606501283302,10.98344612121582,no,no,yes,no
23022,77.82245536157369,-67.43193051112497,11.406,0.838214219027445,18.642013549804688,yes,no,no,no
24636,77.40189837767288,-67.57550079293446,3.172,0.166346986037679,13.622714042663574,yes,no,yes,no
24638,77.40621365887372,-67.55178564084378,1.816,0.1549809508607529,7.99616003036499,no,no,yes,no
26202,56.05343497128554,28.193722077314177,2.749,0.0624371805536946,81.20532989501953,yes,no,no,no
23406,65.43543409876051,20.40268425599928,0.1233333333333333,0.0357133828860776,154.4210205078125,yes,no,yes,no
24386,65.43566006541032,20.40282413177949,0.3933333333333333,0.1680272404134411,8.684545516967773,yes,no,yes,no
24388,65.43561674140588,20.40248529586811,0.2483333333333333,0.1106038645062941,15.532391548156738,yes,no,no,no
24878,65.43544750213303,20.40261287685649,0.125,0.1433165000498785,9.053296089172363,yes,no,yes,no
23577,80.25923297616194,1.3358403793375384,1.57,0.1210849576758725,17.637279510498047,yes,no,no,no
23577,80.39598447028504,1.3064450333264646,8.4,0.5543826271906019,20.30195617675781,no,no,no,no
24311,124.4136504413134,-7.612863178576952,5.495,0.3313400604682631,14.66213321685791,yes,no,yes,no
24885,111.98113576915944,80.19317245172071,3.605,0.4667166110840764,3.690709590911865,yes,no,no,no
23821,147.75043584090932,51.50453894972486,3.835,0.276123342252221,6.245823383331299,no,no,no,no
23472,202.4723991958659,47.17847741770522,2.122,0.0771869058817466,52.74996948242188,yes,no,yes,no
23472,202.64184671857788,47.16180234413749,5.635,0.4963946793976567,9.134196281433104,no,no,yes,no
23472,202.5043640334677,47.22881032713428,1.846,0.0381151540510495,126.8359603881836,yes,no,yes,no
23473,202.44238071494732,47.17836591106324,3.789,0.1894923117434351,15.362924575805664,no,no,yes,no
23473,202.42774745442796,47.17881936481589,4.22,0.3306023302604104,4.669909477233887,no,no,no,no
23474,202.4426340827837,47.17803718164988,3.999,0.2508717600687447,3.818098545074463,no,no,no,no
22651,209.927294001265,41.08993986689252,4.034,0.2439479730680406,10.239227294921877,yes,no,no,no
22651,210.0880538215941,41.03620917352938,3.969,0.2510378250053128,9.0823974609375,no,no,no,no
23484,187.6265047829964,41.648230254634655,3.36,0.194851013762026,16.97547721862793,no,no,yes,no
23484,187.63738653837035,41.670778727286695,1.938,0.1157010763435146,13.675471305847168,no,no,yes,no
24307,68.80738052470826,20.133456595284063,0.0816666666666666,0.0346851781633628,132.10743713378906,yes,no,no,no
24309,68.80755440267386,20.133397351816622,0.1016666666666666,0.095944254484343,22.827821731567383,yes,no,no,no
24310,68.80749754599914,20.13345602768908,0.0716666666666666,0.0907187733236707,15.62531566619873,yes,no,no,no
24914,68.74238171675539,20.08471430596115,4.618,0.1893413750876231,20.33892059326172,no,no,no,no
25119,43.4989988560472,26.344930153762316,3.526,0.1840512034222711,3.422615528106689,no,no,no,no
23477,202.41434487443647,47.21230856831212,0.4433333333333333,0.0664507886866488,36.995849609375,no,no,yes,no
23477,202.4164961354718,47.21040069286072,0.5716666666666667,0.0895111237471788,28.203481674194336,no,no,yes,no
23478,202.47195060448084,47.17867582583678,2.875,0.121772226726026,21.30406379699707,yes,no,yes,no
23479,202.51760123469967,47.22244730606814,4.887,0.3380007762410948,11.043736457824709,no,no,yes,no
23479,202.41628674426923,47.21015695096837,2.043,0.0701307118825043,57.67522430419922,no,no,yes,no
803,186.3815785116022,13.066452477077808,13.285,0.230628978992878,107.89669036865234,no,no,no,no
2025,167.86794009301224,55.67252788794541,2.408,0.0971824825323636,19.887924194335938,no,no,no,no
23487,187.66188031663623,41.63613229407965,2.908,0.1454523757111102,19.692283630371094,no,no,yes,no
23487,187.64630116722768,41.64640643088012,2.138,0.1517524824438454,9.016103744506836,no,no,yes,no
23488,187.66173433407877,41.6360916527896,2.457,0.0875329112573283,28.10297393798828,no,no,no,no
23489,187.66182351791952,41.63610435006035,1.921,0.0657568084200524,49.74999237060547,no,no,yes,no
23491,187.64631625996265,41.646328105754485,1.284,0.0984631269091395,21.838043212890625,no,no,yes,no
23582,178.31122911171954,10.841826395740776,4.272,0.2373565981104979,11.155279159545898,yes,no,no,no
27863,210.9823601795029,54.34944732349224,3.334,0.1503685941678326,25.51070213317871,yes,no,yes,no
22481,56.63677775024114,68.06574263759163,1.507,0.0615957780332516,76.92709350585938,no,no,no,no
23815,48.20759508186512,41.19613325497504,8.394,0.8901817528049609,7.74568510055542,no,no,no,no
23820,128.2368443330671,23.063210020947512,2.346,0.1679166668685338,15.473371505737305,no,no,no,no
23827,263.65579349495306,88.6621863331238,5.033,0.6529314900255374,4.321642875671387,no,no,no,no
26444,178.40321293000244,49.60019822887924,5.205,0.2991080413351452,8.112722396850586,yes,no,no,no
27657,255.6505489220101,12.892773409163084,7.64,1.0330860257681944,7.118202686309815,no,no,no,no
27821,314.2834974404852,22.472060357912863,2.929,0.1428885783866915,12.149114608764648,yes,no,no,no
24297,175.76456786241403,58.41324461189819,5.424,0.6055384615385252,4.962765216827393,no,no,no,no
26226,165.08740968631062,54.84626114949933,5.984,0.3290580096429228,10.99937343597412,no,no,no,no
25488,30.116587135442614,31.609149215022185,11.0,1.2949543095665863,6.172003746032715,no,no,no,no
27023,207.06443852491276,26.4738336642124,6.159,0.6005492324035606,8.991857528686523,yes,no,no,no
23883,260.6395744067035,65.84501321546657,2.216,0.1199673942958258,13.566435813903809,yes,no,yes,no
23883,260.6712022242231,65.71150691130413,6.579,0.5119401117175582,12.448989868164062,no,no,yes,no
23883,260.5837730125246,65.75498797824346,4.942,0.4583532538028407,6.623190879821777,no,no,yes,no
27882,45.46908705528796,-16.653207358692836,3.34,0.2221377830688723,13.113472938537598,yes,no,no,no
23377,45.46168927923848,-16.59476352938372,0.29,0.0493652808555071,89.587158203125,yes,no,no,no
23324,127.7693092575682,9.70545097958357,9.264,0.569261126292917,21.301944732666016,no,no,no,no
23324,127.6328416870447,9.784846561455463,0.1316666666666666,0.1249658474990303,17.75309944152832,yes,no,no,no
27674,196.3167184920977,-50.9345970103637,4.383,0.357943736849805,3.6827738285064697,yes,no,no,no
27091,197.44872143177597,-23.486268224243,6.205,0.3677795600255452,18.52609062194824,yes,no,yes,no
28964,244.71649522184907,-1.991866011802935,6.134,0.360551429526109,5.741755962371826,no,no,no,no
28526,197.39547283536476,-23.307726170094217,5.126,0.6304761216267847,5.321649074554443,no,no,yes,no
25240,186.47503696543643,-36.14165323588869,5.55,0.2205976992651288,35.77335739135742,yes,no,no,no
27832,136.34891082164935,3.487444807144723,6.615,0.5640903480837302,5.6084699630737305,yes,no,no,no
24733,157.47032402029993,-35.63771733851075,5.108,0.2442308521341337,22.14193725585937,yes,no,no,no
24798,174.78400470751967,-13.864282611100624,1.183,0.0666319679084863,21.550987243652344,yes,no,no,no
25905,215.85600324554335,-0.2951784812422818,1.624,0.1543130223790609,12.601558685302734,yes,no,no,no
26417,228.0189970543727,5.35651946578516,6.496,0.6146730879334814,7.327912330627441,no,no,no,no
26036,141.54846547055112,3.0691558161677395,4.179,0.2630611462505542,9.584110260009766,no,no,no,no
26747,184.70428845536196,8.966059335182305,6.849,0.7588625522304318,3.077679395675659,no,no,no,no
24346,179.54768278961862,-10.773754970513174,3.312,0.1032984817242991,16.967954635620117,no,no,yes,no
24280,285.0334113018252,-24.929257110222984,0.615,0.1130005984653582,16.973024368286133,yes,no,yes,no
24284,285.0687385065796,-24.966108800768566,3.17,0.2982497555181946,5.744559288024902,no,no,no,no
24291,284.986295189806,-24.894743626557226,2.953,0.2136987755387711,5.5513410568237305,no,no,no,no
23494,11.823181034409176,-25.30302922696614,5.563,0.1607355010491358,58.908477783203125,no,no,no,no
23499,11.8603832895408,-25.32069580871148,3.687,0.238899342332467,6.447657108306885,yes,no,yes,no
26546,332.40047641470187,13.645334735992313,7.258,1.548458863027507,3.0861167907714844,yes,no,no,no
26551,82.26232273173106,-69.07505078102966,1.834,0.1202756983341195,22.67487907409668,yes,no,no,no
26551,82.24447320042738,-68.91928679033846,7.718,0.5016460709382068,10.04332160949707,yes,no,no,no
27072,82.66328792361139,-67.18290831957418,1.838,0.1528493851430211,9.570874214172363,yes,no,no,no
27077,83.90538522893175,-67.08977467952342,8.356,0.4751163668637756,21.407978057861328,no,no,no,yes
27081,82.53959637356267,-70.15825286031483,4.809,0.2427592519375468,21.785816192626957,yes,no,no,no
27606,82.52143263953027,-70.12725364846374,6.83,0.4586486763935039,8.328450202941895,no,no,no,no
27083,76.7259218180244,-68.66735354882215,4.39,0.2561218429525651,7.553003787994385,yes,no,yes,no
22704,10.027611141452056,-73.5942348624244,3.047,0.2642979941041233,7.040994644165039,yes,no,no,no
24634,10.153507775418197,-73.58776802145232,2.111,0.0857006203853269,16.233251571655273,yes,no,no,no
24268,79.9771947429865,-69.04619283483959,1.848,0.1334900002807537,6.761600494384766,no,no,no,no
26645,50.07253788134507,8.81613716129261,4.205,0.3432919170992587,4.266607284545898,no,no,no,no
23062,72.83418776336315,-69.45311462672134,4.855,0.5683345405657277,5.6669745445251465,yes,no,no,no
24450,237.6656934591508,-78.15224377897553,2.714,0.2666493750464609,6.006357192993164,yes,no,no,no
24450,237.5198003219725,-78.21933206778546,2.171,0.1548984252666636,10.959477424621582,yes,no,yes,no
24451,237.53937641803583,-78.14828140398747,2.074,0.1167606289809204,11.7368803024292,yes,no,yes,no
24451,237.5191707472335,-78.21959459361405,2.255,0.0946343609587106,34.18753433227539,yes,no,yes,no
24454,237.3683558517421,-78.20659682568672,2.385,0.0785788367895292,34.662353515625,no,no,no,no
24458,237.5198578230303,-78.2196638103692,2.127,0.1040173124158135,31.746671676635746,yes,no,yes,no
23798,69.51690785886844,-12.271767606197152,2.659,0.1127078837321851,3.474945545196533,yes,no,yes,no
23798,69.50049413657463,-12.36460259180175,5.944,0.6124482216634608,5.757307529449463,no,no,yes,no
25911,3.522855388740988,-30.343427829392528,4.663,0.4182766403457993,5.024651527404785,yes,no,yes,no
25917,3.77778433535247,-30.40962237041527,9.827,1.0156965243883764,5.188941478729248,yes,no,yes,no
25922,3.685826061632364,-30.4738969148142,6.766,0.5513541982201522,5.058663845062256,no,no,no,no
25929,3.6219073052272712,-30.46584940569717,4.274,0.2915555555556447,4.198468208312988,no,no,no,no
25950,3.738190518732573,-30.44614144169092,8.279,0.8650519002483513,4.840493679046631,yes,no,yes,no
25960,3.5226316379703464,-30.34379550077202,4.692,0.4154158450512346,7.412874698638916,yes,no,yes,no
25967,3.692247738514452,-30.40066195260788,5.251,0.4230756559883305,7.291473388671875,yes,no,yes,no
27449,3.6298238240970826,-30.37770675498721,2.487,0.174795688397219,5.6744585037231445,no,no,no,no
27575,3.6549378190710153,-30.38021082131701,3.713,0.1823555373440176,9.799097061157228,no,no,no,no
28370,3.5834995602729838,-30.46059222810089,3.755,0.2860221436647945,2.9847803115844727,no,no,yes,no
28872,3.6546031682268674,-30.380326016092383,3.424,0.2119004799690516,6.963069915771484,no,no,yes,no
25402,81.40564455681681,-45.97196548976228,3.721,0.3840673769014787,1.6971588134765625,no,no,no,no
27409,336.8874750279704,0.4186730344496477,4.204,0.3848453193226772,7.6416096687316895,no,no,no,no
27970,297.3021206051354,-10.61051158745641,2.55,0.1712087541571131,4.2000732421875,yes,no,no,no
27970,297.30230119317474,-10.610126090353214,2.532,0.148471545375808,11.968327522277832,yes,no,no,no
27970,297.3147332757167,-10.48049340901987,5.621,0.4064413462002935,7.562683582305908,yes,no,no,no
28972,342.439644828048,-44.81051436253372,6.122,0.5141121557033106,3.756394624710083,no,no,no,no
28914,351.36785039068684,-9.756191826116112,3.627,0.3455021752266134,8.991790771484375,no,no,no,no
29040,38.203598542117774,-21.40042825461713,7.687,0.8360488646854403,7.620090961456299,no,no,no,no
29040,38.21516537350567,-21.289119825211813,4.509,0.2566490970776489,12.771592140197754,yes,no,yes,no
24508,308.1870516884749,-40.68302805911858,9.851,0.8536982721234189,9.309959411621094,yes,no,no,no
24329,305.5841623571134,-55.5670862212444,6.986,0.7899458454727676,6.261404991149902,yes,no,no,no
26075,89.82670912567154,-20.223301384078106,10.889,0.1442385627439368,244.664306640625,yes,no,no,no
26941,50.873490158542566,-6.78681829083582,4.319,0.4536015872989564,4.032780170440674,no,no,no,no
27215,64.49824511256098,-47.74136236502209,6.308,0.537485085904327,5.538585186004639,no,no,no,no
27462,5.046432605238026,1.5514924564810282,9.789,0.4779476956306985,31.23647117614746,yes,no,no,no
27462,5.182639685260209,1.5784877179186605,1.739,0.1295885411603073,10.10831356048584,no,no,no,no
3411,310.96707808423787,77.2909379691947,1.42,0.0867707246484801,11.954506874084473,yes,no,no,no
3411,311.12918427397165,77.204596079829,5.626,0.2393142715942846,24.6729793548584,no,no,no,no
3412,310.74511413204254,77.31812327093405,2.99,0.1690075501273631,5.033197402954102,yes,no,no,no
4418,132.72566814533909,18.52129341059005,4.431,0.2290332662649206,16.58043098449707,yes,no,no,no
8217,256.2566675972802,-22.126867545960085,0.2833333333333333,0.2249252675887904,4.820322513580322,no,no,no,no
8218,257.4887742745794,-22.20374881804638,3.474,0.1617442024129219,21.50151634216309,yes,no,no,no
12317,191.8662912783992,-2.1568809851102078,0.64,0.0607691890992626,33.19414138793945,no,no,no,no
12318,191.7670164902476,-2.1180963272959343,0.8966666666666666,0.0444518725861606,61.83076477050781,no,no,no,no
630,269.3014724953938,66.69052632276579,8.236,0.773415283109652,11.039246559143066,no,no,no,no
635,246.91221778940647,-24.672350038225943,7.552,0.1583203131753629,85.25835418701172,no,no,no,no
635,246.866748109412,-24.65933077846842,5.588,0.0175849040760876,1074.9595947265625,no,no,no,no
635,246.8144088664233,-24.44450900866925,7.79,0.1223852656729684,134.460693359375,no,no,no,no
635,246.79882236306955,-24.64227557228557,4.36,0.0884383149989859,60.571510314941406,no,no,no,no
635,246.86277346377747,-24.53831363737394,2.934,0.0303268487572153,315.59600830078125,no,no,no,no
635,246.92289141068733,-24.59391169122026,5.425,0.2919408704173196,12.058623313903809,no,no,no,no
